"MPA_reef_countries.p.","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop"
"SLB",2556.76467429101,4207.30179737508,6121.13634708524,8012.76239830256,11701.2922042459,15155.8044377267,20770.0645313859,24959.2234876156,27422.4652261958,29852.0327689275,31987.2560109738,34737.1365786772,37964.4308965188,42307.3100975808,48250.0267936718,52993.9140886869,56758.575142106,61157.1589766722,65889.6114278939,69623.2703566905,72227.5173670184,74931.1362514552,77962.2518067565,80601.1601111274,82416.031801356,84009.8838024195,85692.9869737308,86464.7509337272,87015.0531071667,87623.9239928853
"ASM",1242.86880728602,5134.679392308,10622.768152684,17792.143907994,23741.8074078262,28523.1551403701,31834.7911052406,33411.7999086082,35292.7424485385,36145.7948280014,37619.4530482925,40557.608108107,43065.9516215958,44033.297400061,46437.4699674286,47321.7153926529,48099.5524478592,48511.2364457287,49003.9150262512,49977.0045037903,50880.6051054634,51874.1429472603,53545.4046016373,53996.6024242081,54958.3907924332,55114.6386123337,55114.6386123337,55114.6386123337,55114.6386123337,55114.6386123337
"GLP",18153.066775918,44105.5376228094,89274.5746349096,150310.832478166,201435.510335684,245973.86771059,276815.500696093,296304.192000777,308611.265278727,318413.60115996,325541.810021669,331870.414704591,338319.762860566,344177.955834657,349743.239271075,356974.482016474,364235.710175186,370537.833451867,376324.660327077,381317.825042129,386392.620067917,391363.706526004,394378.820239268,397120.045048915,400135.241423808,403121.085662089,406039.393376552,408465.230519496,410184.02192422,410866.812750064
"ATG",102.771610610187,1298.50636518002,5077.02339525148,8944.20030153915,13851.6735503189,20712.8720833771,31287.1595155708,43333.3120238297,54354.5206071846,64348.7030535452,68239.7831712477,72880.676652085,76687.2276951186,80368.4310981147,82639.654101979,84535.7999086492,86452.5941877477,89174.9177866094,91839.9644737355,93380.9863180034,94721.3652099483,95330.3704279773,95453.4461235218,95456.3531896882,95456.3531896882,95456.3531896882,95456.3531896882,95456.3531896882,95456.3531896882,95456.3531896882
"IDN",129.512914801948,130.776613361202,131.988592430018,134.658558893017,142.059847141616,148.570496167056,154.875711656176,159.711652844213,165.532327066176,172.108349943534,177.461901793256,204.007007243112,226.730710120872,302.122499259189,388.044330005534,431.4600272635,448.972461120225,471.550076141022,509.638637608849,562.522074884735,609.205979942344,684.572977631353,746.243826600723,807.116284373216,917.516690167598,1031.08142532874,1186.39264563192,1285.52488897461,1394.30087588821,1478.43282802496
"CYM",18971.0841204077,32403.8476982564,40590.0381329507,43321.3110948727,46113.6354979202,48697.5069956109,52180.4875837415,53458.8163544908,54423.2096626535,63342.7055284753,71371.0675184503,72603.5825884119,72718.9525077119,72784.6059400812,72900.74876187,73078.4164969698,73238.6129066721,73471.8393566385,73688.6362936273,73857.0464419499,73877.2456236258,73877.2456236258,73877.2456236258,73877.2456236258,73877.2456236258,73877.2456236258,73877.2456236258,73877.2456236258,73877.2456236258,73877.2456236258
"TZA",1080.52792668343,6700.6118118763,32846.3688461781,84146.7952377796,172344.103361905,286203.049712956,427445.687129796,598538.940326512,871371.057079613,1192284.30507427,1673967.31437951,2198416.80363256,2682224.55849135,3143984.15099227,3524749.38030288,3941132.56972452,4323054.83436878,4819248.87104984,5147450.65739031,5462103.11586531,5741724.27157559,6045720.21830125,6398695.55737014,6651693.47755428,6849370.33609797,7003493.91556408,7118759.41217352,7214310.38678695,7288968.13312151,7357343.33925177
"MNP",1883.07544261962,3884.14126320928,12122.657059148,18393.7045854405,23485.4963914901,26486.35177272,30344.3591401521,35963.7000940274,39700.7123648506,40123.1827239525,40189.3089320194,40230.0203930866,40235.3758153748,40236.4746509399,40236.4746509399,40236.4746509399,40236.4746509399,40236.4746509399,40240.7570051458,40258.9085358065,40286.5688494127,40310.0815604609,40389.5769607108,40718.9317175429,41364.0585745778,42234.9905977789,43022.6001866404,43043.7066285182,43047.6092744041,43048.437044831
"BRA",6749.33222495019,7733.64014570415,8266.77299904078,8752.81228151172,9155.63583509624,9640.2973074168,10046.8077470064,11733.1880642995,12321.6471754368,13166.1956515964,13878.686632907,14996.3089864459,21394.3645920213,24629.1997626182,29466.7915415224,31194.2153594624,32315.0721969735,37553.0629908368,51039.0508112684,74525.5476335306,82829.849825399,93471.4690063912,102977.146971198,114712.391884068,117057.017229909,118324.495496901,119390.980079817,122287.422765793,124372.724136518,125770.117356593
"BMU",4180.64999008179,10754.4214267731,15255.80991292,21630.6015920639,30929.3667526245,41108.8659559488,50475.0615121126,60849.4446011782,64867.9387232065,66563.1661401987,66563.1661401987,66563.1661401987,66563.1661401987,66563.1661401987,66563.1661401987,66563.1661401987,66563.1661401987,66563.1661401987,66564.5325679705,66564.5325679705,66564.5325679705,66564.5325679705,66564.5325679705,66564.5325679705,66564.5325679705,66564.5325679705,66564.5325679705,66564.5325679705,66564.5325679705,66564.5325679705
"KEN",16592.6362934113,58108.5723209381,142047.259933472,260824.458337784,408455.227326393,578884.115218163,714278.894870639,818786.385849118,908089.899354696,1048386.83367801,1120553.16311666,1221202.80543551,1330894.65013966,1506748.09480034,1622997.59474955,1719721.34671323,1800038.47266252,1861987.05575405,1914824.35860322,1969970.89800317,2038579.5403638,2105791.40116216,2178945.48586394,2255445.76379324,2331499.15489341,2402341.09151484,2487298.46993007,2557465.23169686,2621408.82477642,2676698.1055534
"IND",61296.565281868,128823.794558764,234235.55465591,343099.518480182,468411.326931834,631305.888989806,843702.372797132,1052382.22580552,1257630.5633471,1439954.41565061,1631365.3199141,1792425.0231216,1935000.11551726,2074623.16430938,2202843.97206974,2326260.95536244,2439216.74867117,2574125.62592113,2708760.71997225,2834972.1083523,2939222.9767327,3033772.01516888,3116993.2420046,3200699.22461936,3279482.17229792,3363153.3701739,3465511.61696264,3579708.84903845,3715906.97425017,3844766.76857862
"MUS",1145.88332366943,3967.93841552734,12989.4751834869,31702.7207584381,58379.0595226288,96790.0049419403,132757.712926865,174667.709623337,216967.535453796,245825.120422363,279098.032644272,305566.111444473,330038.679294586,365770.140167236,404623.019262314,445959.585225105,494866.340445518,543578.034216881,597263.003840446,652517.914313078,706128.542319059,759275.4722929,800595.473810196,842217.638343811,882111.021303177,919547.958215714,954789.975914001,975051.229317427,984738.101914167,995567.037480831
"THA",1427.4463775754,1427.4463775754,1427.4463775754,1427.4463775754,1427.4463775754,1427.4463775754,1427.4463775754,1427.4463775754,1427.4463775754,1427.4463775754,1427.4463775754,1433.58484345675,1442.59451013803,1458.17094522715,1504.76974111795,1545.99363094568,1551.08528536558,1551.08528536558,1551.08528536558,1561.38763493299,1580.45472246408,1603.16943186522,1603.16943186522,1621.48877370358,1654.53917396069,1709.42157948017,1745.33952260017,1752.72125530243,1777.2572286129,1810.6077324152
