iso3c,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
TZA,302497.8725,443918.5326,595844.1585,729398.719,842063.4772,953505.1944,1098183.571,1271012.989,1490851.022,1738632.851,1991195.923,2192713.935,2381154.225,2604984.083,3021363.197,3501727.676,3967321.74,4588211.71,5206030.663,5878845.333,6339484.195,6691903.129,7025697.977,7311944.276,7654341.059,7961035.839,8305045.315,8580391.578,8798121.191,9021553.318
KEN,225410.1422,421278.6252,650345.2722,916424.7796,1194085.548,1345978.399,1467077.989,1569887.733,1671612.321,1774481.321,1872120.603,1975725.09,2043559.04,2110283.299,2166921.317,2215970.014,2271345.804,2324177.345,2384532.467,2451229.994,2516686.444,2591660.515,2662131.538,2730534.395,2809287.926,2876192.656,2934137.479,2983099.873,3034137.048,3081029.749
CUB,563481.7334,800911.2783,1039604.993,1284934.984,1530957.107,1803339.954,2057980.548,2320762.54,2591773.004,2863671.841,3130329.969,3377234.664,3649000.732,3889477.558,4116604.709,4318043.352,4545495.397,4760783.768,4973498.261,5173094.763,5366245.469,5556312.784,5740510.139,5936883.53,6131367.586,6335174.33,6525647.378,6701730.137,6880914.556,7047122.971
MTQ,649821.2982,749046.7976,816009.0946,866068.6986,900394.5091,921276.032,934385.2575,939539.8773,943073.3343,945116.7195,945757.4814,945779.6567,945786.7088,945874.8571,946062.7229,946858.703,948885.4533,951766.086,955220.9682,960170.084,965798.3652,972666.1279,979098.2843,988033.5125,996177.6123,1006112.175,1019990.279,1038145.955,1056556.987,1067622.29
MAF,31183.87866,42678.17872,54918.41175,63550.55449,70650.14587,75549.37186,76628.76147,77908.1504,79851.52081,83828.03271,87056.01703,89619.81354,90527.25201,91258.15876,91370.14534,91382.67195,91399.97701,91413.51115,91424.58458,91427.03369,91446.44008,91539.1251,92298.80979,93361.84896,94945.29995,96973.49124,99748.37006,101273.0195,102676.1703,102964.9709
ZAF,43348.67059,71673.74415,98327.90255,125593.1275,147521.9192,167023.7908,185460.3693,206661.194,240392.5069,266400.148,288370.7582,311554.2503,337302.7045,356491.9055,370943.3116,385295.5094,404102.4766,419026.6964,434014.0799,448985.7875,463509.8318,475051.6769,487594.2296,498901.0872,510944.8273,523935.8742,538042.1338,549546.0396,560965.5158,574457.2008
GLP,535769.1779,651783.8009,744059.8778,816691.4426,870448.7107,903851.1215,924199.5043,935661.3995,941526.6632,944512.8022,945704.833,945779.6567,945786.7088,945874.8571,946062.7229,946858.703,948885.4533,951766.086,955220.9682,960170.084,965798.3652,972666.1279,979098.2843,988033.5125,996177.6123,1006112.175,1019990.279,1038145.955,1056556.987,1067622.29
REU,28407.39202,46107.52301,66183.87593,85611.27703,104344.898,124184.3008,146599.9073,168028.4447,193832.551,222030.5477,256896.5561,282481.2587,308340.22,327655.6857,346251.5129,365655.0948,384215.1896,403074.4014,422832.203,444645.798,467773.8099,491839.2816,516355.0362,539480.665,564686.9058,589036.839,613330.7602,638213.1042,662221.5356,686419.0436
IDN,1980710.211,2998872.71,3841585.215,4638773.83,5433039.103,6218680.868,7029446.415,7835524.15,8711788.541,9653213.653,10728173.81,11885714.59,13096027.45,14397861.78,15861760.16,17484718.73,19210151.82,21031018.29,22929251,24902483.81,26892374.53,28918222.19,31020753.52,33066984.8,35312299.15,37472448.8,39713970.14,41893749.49,44051434.2,46139077.2
JPN,963368.1355,1577627.994,2031612.015,2330594.156,2507705.866,2603810.478,2681606.328,2751281.358,2808666.17,2861416.256,2912361.443,2952464.835,2987380.628,3012076.05,3032019.986,3054195.52,3074304.096,3093165.808,3109444.282,3126651.924,3144463.089,3165654.625,3184590.312,3204795.711,3230792.571,3256398.112,3282477.232,3317375.556,3358739.238,3394627.626
