iso3c,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
VUT,2656.705867,4407.123091,8732.842104,16482.40211,25715.9662,30273.11558,33600.42444,36104.64801,38362.4087,40456.18054,42550.26256,45196.41951,48771.15667,57081.04376,70230.09769,91910.79842,107060.3303,125824.5116,131136.5553,133919.3157,135652.0579,138493.1677,141876.3649,145492.6569,147388.6343,148707.0627,149743.3734,150807.5798,151721.3457,153281.7253
YEM,57864.04039,64946.9863,67321.74193,67529.55346,67602.35041,67633.99823,67639.62562,67639.62562,67639.62562,67639.62562,67639.62562,67639.62562,67639.62562,67639.62562,67639.62562,67639.62562,67639.62562,67639.62562,67639.62562,67639.62562,67639.62562,67639.62562,67639.62562,67639.62562,67639.62562,67639.62562,67639.62562,67639.62562,67639.62562,67639.62562
THA,207271.398,302576.5578,392730.7134,496652.7668,607927.8857,721232.7566,833496.7235,957919.3667,1068225.521,1196056.298,1324306.959,1452583.41,1584078.424,1741234.087,1908629.803,2074940.405,2257874.932,2409497.079,2567763.131,2753049.518,2954991.431,3149618.703,3328445.021,3482035.962,3625655.224,3748538.892,3866190.998,3969248.223,4068875.673,4153980.174
OMN,12672.83862,14087.71061,15309.09116,16469.54617,17789.0078,19009.6457,20488.27863,21950.36006,23412.33999,28988.26247,43215.00702,63457.54554,89661.5138,119718.9603,150255.7117,183377.4322,217736.0956,253021.6511,293782.7068,336120.4246,369207.0036,404199.535,436880.0394,471815.8096,504946.4991,540084.5354,575021.2096,610053.7221,642658.178,671177.831
IRN,48979.83626,59578.03294,70369.0151,85631.33142,110552.5255,134342.0468,164148.8684,197652.7871,228927.86,262202.1547,291163.4088,312134.7913,328888.1026,343344.7712,355448.0199,368426.5129,380868.3419,395153.4769,411869.0364,431038.2359,448263.6153,466570.0638,483231.8179,499459.6305,514023.3858,529541.876,545485.5916,561257.7328,575482.4907,595328.6715
KHM,22631.27306,33533.16604,45314.50002,66122.83129,94699.54078,119052.7381,140055.9522,160672.0249,167789.0748,171505.313,176515.8357,183419.4106,190101.2061,195911.418,202935.3062,206995.5765,210304.9974,213242.258,216581.0585,222212.6479,228247.4985,234040.2393,238701.1285,245812.9996,252827.8962,259709.2499,264266.3053,269109.5467,273567.9288,277985.9324
PCN,55.66987035,64.9133269,65.61655319,65.61655319,65.61655319,65.61655319,65.61655319,65.61655319,65.61655319,65.61655319,65.61655319,65.61655319,65.61655319,65.61655319,65.61655319,65.61655319,65.61655319,65.61655319,65.61655319,65.61655319,65.61655319,65.61655319,65.61655319,65.61655319,65.61655319,65.61655319,65.61655319,65.61655319,65.61655319,65.61655319
NIC,73424.59047,77351.81292,81170.76605,84910.39354,88524.7418,91871.04311,95223.44295,98750.45058,102309.0548,105853.8609,109589.9334,113282.3526,116941.9668,120259.7003,123751.4768,127590.2961,131260.3644,135162.2391,139005.1129,143004.0502,146791.3437,150646.0504,154480.866,158236.484,161957.8606,165738.2858,169534.9295,173564.0569,177428.7233,181309.8441
ERI,6992.801166,7104.179481,7177.114032,7225.032267,7262.197375,7290.804176,7310.570306,7334.126547,7375.780458,7436.81418,7458.561182,7464.931416,7484.748197,7526.685843,7614.522666,7737.048202,7853.263259,7934.651563,8075.698087,8285.123911,8522.270933,8782.023037,9056.17308,9342.253667,9610.977617,9837.840596,10084.41946,10331.42897,10581.07056,10840.24624
MUS,0,0,0,138.2679005,2613.407213,5188.445589,8913.364214,14573.78712,24694.8478,37892.56588,48971.75963,63088.20394,73079.97742,87831.00571,110718.3579,121807.7105,135704.5551,143809.4141,154735.0604,170575.6047,183520.0507,203887.6354,225589.2838,249430.9759,279355.8333,308162.0995,350365.9057,377891.9932,406428.3797,427878.2506
VEN,99092.43013,174498.775,267410.2122,349185.9223,449213.6724,552571.4209,640355.182,725245.4183,800167.8144,872957.0673,941433.9264,1012885.307,1076328.691,1136820.968,1192952.693,1241733.012,1287026.871,1321085.006,1358451.736,1403698.086,1454261.974,1503767.186,1553162.89,1600802.599,1639607.964,1683377.518,1723355.813,1770597.686,1822195.584,1879348.966
